Pop	Model	Folds	log-likelihood	AIC	chi-squared	theta	initial_params	optimised_params	optimised_params_labels
ahya.fold.het05.Amil.major	bottle	[3]	-70942.33	141890.66	133657.19	73612.84	2.0,2.0,2.0	150.0,18.1894,9.387	nuB, nuF, T
ahya.fold.het05.Amil.major	bottle_neck	[3]	-722600.32	1445208.64	1111602.05	1921126.9	2.0,2.0,2.0,2.0	0.8891,0.4993,3.9965,32.7536	nuB, nuF, TB, TF
ahya.fold.het05.group1.major	size_change	[3]	-233113.53	466231.06	309716.02	698043.69	2.0,2.0	0.2377,8.6633	nu, T
ahya.fold.het05.group1.major	bottle	[3]	-33204.64	66415.28	52956.49	6598.57	2.0,2.0,2.0	150.0,43.1779,14.5087	nuB, nuF, T
ahya.fold.het05.group1.major	bottle_neck	[3]	-233113.53	466235.06	309716.02	800216.07	2.0,2.0,2.0,2.0	0.7774,0.2074,49.4333,30.2727	nuB, nuF, TB, TF
ahya.fold.het05.group2.major	size_change	[3]	-47777.45	95558.9	78852.17	3481.3	2.0,2.0	150.0,38.033	nu, T
ahya.fold.het05.group2.major	bottle	[3]	-42849.12	85704.24	67994.3	8670.37	2.0,2.0,2.0	150.0,46.3418,14.9152	nuB, nuF, T
ahya.fold.het05.group2.major	bottle_neck	[3]	-323833.97	647675.94	435057.24	840359.82	2.0,2.0,2.0,2.0	0.2256,0.2706,3.1277,24.9655	nuB, nuF, TB, TF
ahya.fold.het05.group3.major	size_change	[3]	-50540.59	101085.18	83119.56	3691.59	2.0,2.0	150.0,38.0569	nu, T
ahya.fold.het05.group3.major	bottle	[3]	-109863.35	219732.7	154982.18	15109.07	2.0,2.0,2.0	0.3823,55.4029,20.7748	nuB, nuF, T
ahya.fold.het05.group3.major	bottle_neck	[3]	-48286.44	96580.88	82073.83	3712.96	2.0,2.0,2.0,2.0	0.02,150.0,149.7894,38.2791	nuB, nuF, TB, TF
ahya.fold.het05.group4.major	size_change	[3]	-56155.21	112314.42	92745.51	4231.55	2.0,2.0	150.0,37.6988	nu, T
ahya.fold.het05.group4.major	bottle	[3]	-122078.01	244162.02	171744.72	475695.84	2.0,2.0,2.0	0.0046,2.0443,0.9035	nuB, nuF, T
ahya.fold.het05.group4.major	bottle_neck	[3]	-393543.68	787095.36	531543.86	603448.64	2.0,2.0,2.0,2.0	1.1479,0.4562,7.8084,14.5342	nuB, nuF, TB, TF
ahya.fold.het05.Amil.major	size_change	[3]	-97045.26	194094.52	190598.06	13938.0	3.0,3.0	150.0,54.478	nu, T
ahya.fold.het05.Amil.major	bottle	[3]	-206918.5	413843.0	382668.73	2204814.2	3.0,3.0,3.0	0.0089,1.4218,0.8208	nuB, nuF, T
ahya.fold.het05.Amil.major	bottle_neck	[3]	-722600.32	1445208.64	1111602.05	110196710.21	3.0,3.0,3.0,3.0	80.5102,0.0087,1.1826,20.9921	nuB, nuF, TB, TF
ahya.fold.het05.group1.major	size_change	[3]	-233113.53	466231.06	309716.02	331983.32	3.0,3.0	0.4998,76.7344	nu, T
ahya.fold.het05.group1.major	bottle	[3]	-78262.7	156531.4	111379.44	14505.9	3.0,3.0,3.0	0.2812,38.5697,15.2327	nuB, nuF, T
ahya.fold.het05.group2.major	size_change	[3]	-47777.48	95558.96	78854.86	3481.4	3.0,3.0	149.9981,38.0314	nu, T
ahya.fold.het05.group2.major	bottle	[3]	-42858.77	85723.54	68157.62	8864.51	3.0,3.0,3.0	149.9651,45.1258,14.5544	nuB, nuF, T
ahya.fold.het05.group2.major	bottle_neck	[3]	-45646.86	91301.72	77940.66	52972.56	3.0,3.0,3.0,3.0	0.001,9.9162,0.5075,2.5285	nuB, nuF, TB, TF
ahya.fold.het05.group3.major	size_change	[3]	-50540.59	101085.18	83117.91	3691.57	3.0,3.0	150.0,38.0575	nu, T
ahya.fold.het05.group3.major	bottle	[3]	-44904.93	89815.86	70622.84	9368.78	3.0,3.0,3.0	149.9983,45.2068,14.6475	nuB, nuF, T
ahya.fold.het05.group3.major	bottle_neck	[3]	-343125.6	686259.2	460594.74	372338.69	3.0,3.0,3.0,3.0	0.7117,0.6479,1.4422,41.8482	nuB, nuF, TB, TF
ahya.fold.het05.group4.major	size_change	[3]	-56153.95	112311.9	93015.42	4236.49	3.0,3.0	150.0,37.6058	nu, T
ahya.fold.het05.group4.major	bottle	[3]	-50765.47	101536.94	81727.2	9098.47	3.0,3.0,3.0	149.5869,56.0244,17.1843	nuB, nuF, T
ahya.fold.het05.group4.major	bottle_neck	[3]	-393543.68	787095.36	531543.86	289338.31	3.0,3.0,3.0,3.0	1.7976,0.9514,3.8779,40.1714	nuB, nuF, TB, TF
ahya.fold.het05.Amil.major	size_change	[3]	-97045.24	194094.48	190621.63	13939.48	4.0,4.0	150.0,54.4667	nu, T
ahya.fold.het05.Amil.major	bottle	[3]	-199793.24	399592.48	401523.17	191579.5	4.0,4.0,4.0	2.7141,18.3533,3.3744	nuB, nuF, T
ahya.fold.het05.Amil.major	bottle_neck	[3]	-722600.32	1445208.64	1111602.05	1262558.22	4.0,4.0,4.0,4.0	6.618,0.7597,1.6656,54.0366	nuB, nuF, TB, TF
ahya.fold.het05.group1.major	size_change	[3]	-37521.77	75047.54	62627.73	2505.78	4.0,4.0	150.0,39.1427	nu, T
ahya.fold.het05.group1.major	bottle	[3]	-78262.5	156531.0	111415.58	161698.15	4.0,4.0,4.0	0.0074,3.4618,1.7046	nuB, nuF, T
ahya.fold.het05.group1.major	bottle_neck	[3]	-233113.53	466235.06	309716.03	90240.25	4.0,4.0,4.0,4.0	13.4315,1.8387,3.4324,81.7956	nuB, nuF, TB, TF
ahya.fold.het05.group2.major	size_change	[3]	-47777.46	95558.92	78856.24	3481.38	4.0,4.0	149.9999,38.0313	nu, T
ahya.fold.het05.group2.major	bottle	[3]	-102803.09	205612.18	144801.13	70481.85	4.0,4.0,4.0	0.0703,11.2594,4.2551	nuB, nuF, T
ahya.fold.het05.group2.major	bottle_neck	[3]	-46057.84	92123.68	78108.37	717242.03	4.0,4.0,4.0,4.0	0.001,0.7315,0.0286,0.1863	nuB, nuF, TB, TF
ahya.fold.het05.group3.major	size_change	[3]	-50540.59	101085.18	83120.61	3691.61	4.0,4.0	150.0,38.0565	nu, T
ahya.fold.het05.group3.major	bottle	[3]	-112526.93	225059.86	146113.63	7811790.97	4.0,4.0,4.0	0.001,0.0938,0.0431	nuB, nuF, T
ahya.fold.het05.group3.major	bottle_neck	[3]	-50522.27	101052.54	82684.03	3684.19	4.0,4.0,4.0,4.0	0.9901,149.9894,3.5762,38.2287	nuB, nuF, TB, TF
ahya.fold.het05.group4.major	size_change	[3]	-56153.95	112311.9	93013.88	4236.47	4.0,4.0	150.0,37.6063	nu, T
ahya.fold.het05.group4.major	bottle	[3]	-50664.24	101334.48	80522.76	9909.56	4.0,4.0,4.0	149.9912,50.0207,15.7828	nuB, nuF, T
ahya.fold.het05.Amil.major	size_change	[3]	-722600.32	1445204.64	1111602.05	1472122.74	5.0,5.0	0.6516,98.3438	nu, T
ahya.fold.het05.Amil.major	bottle	[3]	-70988.27	141982.54	134426.02	76117.85	5.0,5.0,5.0	149.9917,17.5235,9.0141	nuB, nuF, T
ahya.fold.het05.Amil.major	bottle_neck	[3]	-722600.32	1445208.64	1111602.05	1084603.23	5.0,5.0,5.0,5.0	16.9763,0.8844,4.4703,32.0234	nuB, nuF, TB, TF
ahya.fold.het05.group1.major	size_change	[3]	-37521.77	75047.54	62622.9	2505.69	5.0,5.0	150.0,39.1455	nu, T
ahya.fold.het05.group1.major	bottle	[3]	-33204.71	66415.42	52999.98	6601.53	5.0,5.0,5.0	149.9994,43.1695,14.4968	nuB, nuF, T
ahya.fold.het05.group1.major	bottle_neck	[3]	-57476.68	114961.36	67268.11	17294.74	5.0,5.0,5.0,5.0	148.2742,17.5147,1.5725,4.8237	nuB, nuF, TB, TF
ahya.fold.het05.group2.major	size_change	[3]	-47777.45	95558.9	78851.99	3481.3	5.0,5.0	150.0,38.0331	nu, T
ahya.fold.het05.group2.major	bottle	[3]	-42852.3	85710.6	67354.42	8550.57	5.0,5.0,5.0	149.9987,46.9568,15.1974	nuB, nuF, T
ahya.fold.het05.group2.major	bottle_neck	[3]	-323833.97	647675.94	435057.24	460823.09	5.0,5.0,5.0,5.0	0.7871,0.4935,1.2015,28.2844	nuB, nuF, TB, TF
ahya.fold.het05.group3.major	size_change	[3]	-50540.59	101085.18	83118.78	3691.58	5.0,5.0	150.0,38.0572	nu, T
ahya.fold.het05.group3.major	bottle	[3]	-109843.08	219692.16	154874.45	14320.4	5.0,5.0,5.0	1.2949,58.4013,16.7978	nuB, nuF, T
ahya.fold.het05.group3.major	bottle_neck	[3]	-50556.27	101120.54	82881.19	3694.21	5.0,5.0,5.0,5.0	14.5399,149.7074,0.173,37.9219	nuB, nuF, TB, TF
ahya.fold.het05.group4.major	size_change	[3]	-56153.99	112311.98	93059.69	4237.3	5.0,5.0	150.0,37.5907	nu, T
ahya.fold.het05.group4.major	bottle	[3]	-122077.87	244161.74	171845.91	465274.56	5.0,5.0,5.0	0.0016,2.0919,1.086	nuB, nuF, T
ahya.fold.het05.group2.major	size_change	[3]	-47233.89	94471.78	78611.37	2614.88	10.0,10.0	200.0,50.7836	nu, T
ahya.fold.het05.group2.major	bottle	[3]	-41255.96	82517.92	66453.09	7608.98	10.0,10.0,10.0	199.9983,50.8977,17.0567	nuB, nuF, T
ahya.fold.het05.group2.major	bottle_neck	[3]	-39161.3	78330.6	71708.67	5074.88	10.0,10.0,10.0,10.0	199.9089,14.5717,25.4637,0.6017	nuB, nuF, TB, TF
ahya.fold.het05.group3.major	size_change	[3]	-49962.59	99929.18	82848.24	2772.84	10.0,10.0	200.0,50.8155	nu, T
ahya.fold.het05.group3.major	bottle	[3]	-43198.35	86402.7	69007.82	8714.41	10.0,10.0,10.0	199.5019,46.2552,15.7449	nuB, nuF, T
ahya.fold.het05.group3.major	bottle_neck	[3]	-39112.97	78233.94	71255.96	5447.15	10.0,10.0,10.0,10.0	199.8186,23.9215,24.539,1.0727	nuB, nuF, TB, TF
ahya.fold.het05.group4.major	size_change	[3]	-55492.31	110988.62	92712.74	3182.04	10.0,10.0	200.0,50.2182	nu, T
ahya.fold.het05.group4.major	bottle	[3]	-122078.37	244162.74	171887.72	32809.3	10.0,10.0,10.0	0.196,29.677,10.7694	nuB, nuF, T
ahya.fold.het05.group4.major	bottle_neck	[3]	-393543.68	787095.36	531543.88	83681.87	10.0,10.0,10.0,10.0	72.6254,3.2896,27.8251,116.0865	nuB, nuF, TB, TF
ahya.fold.het05.Amil.major	size_change	[3]	-96673.71	193351.42	189842.64	10440.46	1.0,1.0	200.0,73.0324	nu, T
ahya.fold.het05.Amil.major	bottle	[3]	-90897.42	181800.84	178475.09	188990.96	1.0,1.0,1.0	199.7305,5.7554,2.9153	nuB, nuF, T
ahya.fold.het05.Amil.major	bottle_neck	[3]	-722408.55	1444825.1	1111266.83	9120640.57	1.0,1.0,1.0,1.0	3.078,0.1051,25.1015,23.2114	nuB, nuF, TB, TF
ahya.fold.het05.group1.major	size_change	[3]	-233060.65	466125.3	309623.86	8953956.02	1.0,1.0	0.0185,1.4364	nu, T
ahya.fold.het05.group1.major	bottle	[3]	-78259.39	156524.78	111208.68	186609.92	1.0,1.0,1.0	0.0158,2.9895,1.2641	nuB, nuF, T
ahya.fold.het05.group1.major	bottle_neck	[3]	-37038.56	74085.12	62476.06	1882.95	1.0,1.0,1.0,1.0	0.1169,199.9355,0.0321,52.3575	nuB, nuF, TB, TF
ahya.fold.het05.group2.major	size_change	[3]	-323759.93	647523.86	434926.06	20265865.87	1.0,1.0	0.0112,1.819	nu, T
ahya.fold.het05.group2.major	bottle	[3]	-102797.31	205600.62	144838.24	1164170.44	1.0,1.0,1.0	0.0029,0.6816,0.2766	nuB, nuF, T
ahya.fold.het05.group2.major	bottle_neck	[3]	-47183.55	94375.1	78122.31	2615.01	1.0,1.0,1.0,1.0	0.3365,199.4327,0.0725,50.9973	nuB, nuF, TB, TF
ahya.fold.het05.group3.major	size_change	[3]	-49991.19	99986.38	82902.47	2772.08	1.0,1.0	199.9832,50.799	nu, T
ahya.fold.het05.group3.major	bottle	[3]	-43187.94	86381.88	68763.13	7942.25	1.0,1.0,1.0	199.9076,51.7763,17.38	nuB, nuF, T
ahya.fold.het05.group3.major	bottle_neck	[3]	-48377.78	96763.56	82084.4	2784.49	1.0,1.0,1.0,1.0	0.0616,199.8445,0.4547,51.0155	nuB, nuF, TB, TF
ahya.fold.het05.group4.major	size_change	[3]	-55524.05	111052.1	92759.93	3180.79	1.0,1.0	199.9957,50.2108	nu, T
ahya.fold.het05.group4.major	bottle	[3]	-50202.27	100410.54	81106.84	13565.59	1.0,1.0,1.0	198.5616,31.7779,11.2148	nuB, nuF, T
ahya.fold.het05.group4.major	bottle_neck	[3]	-393453.37	786914.74	531382.76	4122220.47	1.0,1.0,1.0,1.0	0.1917,0.0668,0.1502,3.4824	nuB, nuF, TB, TF
ahya.fold.het05.Amil.major	size_change	[3]	-96673.71	193351.42	189841.6	10440.41	2.0,2.0	199.9999,73.0331	nu, T
ahya.fold.het05.Amil.major	bottle	[3]	-206904.62	413815.24	382555.04	41159.82	2.0,2.0,2.0	0.8253,76.0779,39.1955	nuB, nuF, T
ahya.fold.het05.Amil.major	bottle_neck	[3]	-95511.89	191031.78	187825.24	10452.57	2.0,2.0,2.0,2.0	0.0031,199.594,2.4598,73.843	nuB, nuF, TB, TF
ahya.fold.het05.group1.major	size_change	[3]	-233060.65	466125.3	309623.86	667030.67	2.0,2.0	0.2487,20.7789	nu, T
ahya.fold.het05.group1.major	bottle	[3]	-78259.89	156525.78	111529.61	43511.36	2.0,2.0,2.0	0.0364,12.8772,6.04	nuB, nuF, T
ahya.fold.het05.group1.major	bottle_neck	[3]	-33246.46	66500.92	51465.53	11624.29	2.0,2.0,2.0,2.0	161.5047,11.5314,7.1868,1.0428	nuB, nuF, TB, TF
ahya.fold.het05.group2.major	size_change	[3]	-47260.45	94524.9	78701.4	2614.47	2.0,2.0	200.0,50.75	nu, T
ahya.fold.het05.group2.major	bottle	[3]	-102798.05	205602.1	144781.02	76117.71	2.0,2.0,2.0	0.0675,10.418,3.9108	nuB, nuF, T
ahya.fold.het05.group2.major	bottle_neck	[3]	-47531.52	95071.04	79197.81	2640.45	2.0,2.0,2.0,2.0	1.1541,198.2646,14.6576,50.0727	nuB, nuF, TB, TF
ahya.fold.het05.group3.major	size_change	[3]	-49991.03	99986.06	82878.8	2771.52	2.0,2.0	200.0,50.8157	nu, T
ahya.fold.het05.group3.major	bottle	[3]	-43248.51	86503.02	68273.25	8689.81	2.0,2.0,2.0	198.4945,46.2277,15.8571	nuB, nuF, T
ahya.fold.het05.group3.major	bottle_neck	[3]	-49870.77	99749.54	82639.22	2772.79	2.0,2.0,2.0,2.0	0.8328,199.7876,0.6215,50.8918	nuB, nuF, TB, TF
ahya.fold.het05.group4.major	size_change	[3]	-55524.01	111052.02	92751.51	3180.61	2.0,2.0	200.0,50.2156	nu, T
ahya.fold.het05.group4.major	bottle	[3]	-122071.63	244149.26	172028.71	1468364.44	2.0,2.0,2.0	0.0028,0.6636,0.261	nuB, nuF, T
ahya.fold.het05.group4.major	bottle_neck	[3]	-53592.9	107193.8	90911.36	62093.9	2.0,2.0,2.0,2.0	0.001,10.2465,1.1003,2.6065	nuB, nuF, TB, TF
ahya.fold.het05.Amil.major	size_change	[3]	-96685.13	193374.26	190521.11	10471.23	3.0,3.0	200.0,72.6162	nu, T
ahya.fold.het05.Amil.major	bottle	[3]	-206904.26	413814.52	382781.67	119457.5	3.0,3.0,3.0	0.2001,26.2458,14.538	nuB, nuF, T
ahya.fold.het05.Amil.major	bottle_neck	[3]	-95899.51	191807.02	188316.2	1033026.22	3.0,3.0,3.0,3.0	0.0034,2.0185,199.1747,0.7447	nuB, nuF, TB, TF
ahya.fold.het05.group1.major	size_change	[3]	-37158.76	74321.52	62486.77	1881.16	3.0,3.0	200.0,52.2657	nu, T
ahya.fold.het05.group1.major	bottle	[3]	-32014.9	64035.8	51683.87	6067.1	3.0,3.0,3.0	199.7079,44.7547,15.7984	nuB, nuF, T
ahya.fold.het05.group1.major	bottle_neck	[3]	-233060.65	466129.3	309623.86	1072235.17	3.0,3.0,3.0,3.0	1.4917,0.1547,0.1516,13.675	nuB, nuF, TB, TF
ahya.fold.het05.group2.major	size_change	[3]	-47260.37	94524.74	78645.29	2613.73	3.0,3.0	200.0,50.7804	nu, T
ahya.fold.het05.group2.major	bottle	[3]	-41988.45	83982.9	65808.41	5295.21	3.0,3.0,3.0	199.9626,79.1592,25.1718	nuB, nuF, T
ahya.fold.het05.group2.major	bottle_neck	[3]	-315163.97	630335.94	420284.15	278281.75	3.0,3.0,3.0,3.0	0.6381,0.8328,199.2921,1.761	nuB, nuF, TB, TF
ahya.fold.het05.group3.major	size_change	[3]	-343047.37	686098.74	460456.83	607653.15	3.0,3.0	0.3969,31.9073	nu, T
ahya.fold.het05.group3.major	bottle	[3]	-44030.11	88066.22	67743.68	7756.57	3.0,3.0,3.0	177.9668,54.1598,18.0585	nuB, nuF, T
ahya.fold.het05.group3.major	bottle_neck	[3]	-343047.37	686102.74	460456.83	320531.36	3.0,3.0,3.0,3.0	1.6037,0.7524,0.8003,27.1362	nuB, nuF, TB, TF
ahya.fold.het05.group4.major	size_change	[3]	-55524.01	111052.02	92748.4	3180.57	3.0,3.0	200.0,50.217	nu, T
ahya.fold.het05.group4.major	bottle	[3]	-48817.34	97640.68	78747.0	8711.96	3.0,3.0,3.0	199.9928,54.7598,17.9991	nuB, nuF, T
ahya.fold.het05.group4.major	bottle_neck	[3]	-393453.37	786914.74	531382.76	301491.61	3.0,3.0,3.0,3.0	0.1917,0.9128,0.1065,105.7719	nuB, nuF, TB, TF
ahya.fold.het05.Amil.major	size_change	[3]	-96673.71	193351.42	189841.66	10440.41	4.0,4.0	200.0,73.033	nu, T
ahya.fold.het05.Amil.major	bottle	[3]	-206909.95	413825.9	382738.06	313868.59	4.0,4.0,4.0	0.1129,9.9863,5.0875	nuB, nuF, T
ahya.fold.het05.Amil.major	bottle_neck	[3]	-56354.62	112717.24	107350.72	62475.01	4.0,4.0,4.0,4.0	199.1459,8.8799,10.0799,0.9871	nuB, nuF, TB, TF
ahya.fold.het05.group1.major	size_change	[3]	-37158.76	74321.52	62482.21	1881.11	4.0,4.0	200.0,52.2689	nu, T
ahya.fold.het05.group1.major	bottle	[3]	-32087.26	64180.52	52125.73	5907.68	4.0,4.0,4.0	195.703,46.6121,16.2067	nuB, nuF, T
ahya.fold.het05.group1.major	bottle_neck	[3]	-42741.15	85490.3	85454.6	5553.3	4.0,4.0,4.0,4.0	2.9793,74.1596,0.0724,15.6163	nuB, nuF, TB, TF
ahya.fold.het05.group2.major	size_change	[3]	-47260.37	94524.74	78635.15	2613.59	4.0,4.0	200.0,50.786	nu, T
ahya.fold.het05.group2.major	bottle	[3]	-102797.28	205600.56	144810.54	6254.73	4.0,4.0,4.0	0.1177,126.8234,65.9134	nuB, nuF, T
ahya.fold.het05.group2.major	bottle_neck	[3]	-38482.59	76973.18	69577.27	4395.83	4.0,4.0,4.0,4.0	199.9035,26.5578,29.0731,0.9566	nuB, nuF, TB, TF
ahya.fold.het05.group3.major	size_change	[3]	-343047.37	686098.74	460456.83	242680.43	4.0,4.0	0.9937,46.5505	nu, T
ahya.fold.het05.group3.major	bottle	[3]	-109857.67	219721.34	154919.11	7072.08	4.0,4.0,4.0	1.112,118.2279,41.6361	nuB, nuF, T
ahya.fold.het05.group3.major	bottle_neck	[3]	-343047.37	686102.74	460456.83	6504493.06	4.0,4.0,4.0,4.0	0.0029,0.0371,0.0111,1.1122	nuB, nuF, TB, TF
ahya.fold.het05.group4.major	size_change	[3]	-55592.64	111189.28	90296.04	3145.5	4.0,4.0	200.0,51.4037	nu, T
ahya.fold.het05.group4.major	bottle	[3]	-48852.59	97711.18	78270.73	8875.4	4.0,4.0,4.0	198.9591,53.427,17.6976	nuB, nuF, T
ahya.fold.het05.group4.major	bottle_neck	[3]	-55690.91	111389.82	92867.54	3180.62	4.0,4.0,4.0,4.0	1.275,199.9669,0.7042,50.1343	nuB, nuF, TB, TF
ahya.fold.het05.Amil.major	size_change	[3]	-96673.71	193351.42	189842.87	10440.46	5.0,5.0	200.0,73.0323	nu, T
ahya.fold.het05.Amil.major	bottle	[3]	-68250.52	136507.04	128316.06	66204.07	5.0,5.0,5.0	199.9988,19.3903,10.5362	nuB, nuF, T
ahya.fold.het05.Amil.major	bottle_neck	[3]	-722408.55	1444825.1	1111266.83	618274.51	5.0,5.0,5.0,5.0	2.3165,1.551,4.7434,59.0447	nuB, nuF, TB, TF
ahya.fold.het05.group1.major	size_change	[3]	-37158.76	74321.52	62485.82	1881.16	5.0,5.0	200.0,52.2662	nu, T
ahya.fold.het05.group1.major	bottle	[3]	-78259.49	156524.98	111411.24	6600.61	5.0,5.0,5.0	0.9188,84.7549,30.7485	nuB, nuF, T
ahya.fold.het05.group1.major	bottle_neck	[3]	-36945.48	73898.96	62017.26	1878.73	5.0,5.0,5.0,5.0	0.8099,199.9164,27.3636,52.5685	nuB, nuF, TB, TF
ahya.fold.het05.group2.major	size_change	[3]	-47260.37	94524.74	78633.83	2613.57	5.0,5.0	200.0,50.7867	nu, T
ahya.fold.het05.group2.major	bottle	[3]	-41633.46	83272.92	66286.24	8975.12	5.0,5.0,5.0	192.7028,41.6531,14.372	nuB, nuF, T
ahya.fold.het05.group2.major	bottle_neck	[3]	-46333.71	92675.42	78819.0	73421.44	5.0,5.0,5.0,5.0	0.0152,7.1582,0.9352,1.8114	nuB, nuF, TB, TF
ahya.fold.het05.group3.major	size_change	[3]	-49991.03	99986.06	82878.57	2771.52	5.0,5.0	200.0,50.8158	nu, T
ahya.fold.het05.group3.major	bottle	[3]	-43185.88	86377.76	68465.47	8134.51	5.0,5.0,5.0	199.9994,50.1658,16.9761	nuB, nuF, T
ahya.fold.het05.group3.major	bottle_neck	[3]	-49920.38	99848.76	82781.94	2771.33	5.0,5.0,5.0,5.0	0.8694,199.985,0.4898,50.8708	nuB, nuF, TB, TF
ahya.fold.het05.group4.major	size_change	[3]	-55582.73	111169.46	94922.01	3208.47	5.0,5.0	200.0,49.3062	nu, T
ahya.fold.het05.group4.major	bottle	[3]	-122073.55	244153.1	171814.46	11018.99	5.0,5.0,5.0	1.0351,88.259,28.4082	nuB, nuF, T
ahya.fold.het05.group4.major	bottle_neck	[3]	-393453.37	786914.74	531382.77	300144.71	5.0,5.0,5.0,5.0	19.9513,0.9169,0.6573,27.557	nuB, nuF, TB, TF
ahya.fold.het05.Amil.major	size_change	[3]	-96673.71	193351.42	189843.44	10440.49	6.0,6.0	200.0,73.0319	nu, T
ahya.fold.het05.Amil.major	bottle	[3]	-206904.57	413815.14	382794.35	41284.42	6.0,6.0,6.0	1.0289,75.9479,37.102	nuB, nuF, T
ahya.fold.het05.Amil.major	bottle_neck	[3]	-96675.36	193358.72	189789.96	10462.62	6.0,6.0,6.0,6.0	183.2843,199.5268,0.5685,72.3241	nuB, nuF, TB, TF
ahya.fold.het05.group1.major	size_change	[3]	-37158.76	74321.52	62486.73	1881.17	6.0,6.0	200.0,52.2656	nu, T
ahya.fold.het05.group1.major	bottle	[3]	-31997.24	64000.48	51737.38	5785.41	6.0,6.0,6.0	199.9864,47.4817,16.6031	nuB, nuF, T
ahya.fold.het05.group1.major	bottle_neck	[3]	-29667.86	59343.72	50994.74	8207.66	6.0,6.0,6.0,6.0	199.2559,20.932,9.6227,1.8306	nuB, nuF, TB, TF
ahya.fold.het05.group2.major	size_change	[3]	-47260.37	94524.74	78637.55	2613.62	6.0,6.0	200.0,50.7847	nu, T
ahya.fold.het05.group2.major	bottle	[3]	-41291.53	82589.06	66341.66	7351.29	6.0,6.0,6.0	199.4851,53.0818,17.6938	nuB, nuF, T
ahya.fold.het05.group2.major	bottle_neck	[3]	-47332.51	94673.02	78434.62	2610.66	6.0,6.0,6.0,6.0	1.0514,199.9482,2.1647,50.8891	nuB, nuF, TB, TF
ahya.fold.het05.group3.major	size_change	[3]	-49991.03	99986.06	82878.97	2771.53	6.0,6.0	200.0,50.8155	nu, T
ahya.fold.het05.group3.major	bottle	[3]	-43231.95	86469.9	68439.21	7728.91	6.0,6.0,6.0	199.1831,53.483,17.9264	nuB, nuF, T
ahya.fold.het05.group3.major	bottle_neck	[3]	-49330.81	98669.62	80880.76	2758.17	6.0,6.0,6.0,6.0	0.594,199.6323,32.4241,51.7259	nuB, nuF, TB, TF
ahya.fold.het05.group4.major	size_change	[3]	-55524.01	111052.02	92746.29	3180.54	6.0,6.0	200.0,50.218	nu, T
ahya.fold.het05.group4.major	bottle	[3]	-122069.85	244145.7	171793.45	11054.41	6.0,6.0,6.0	1.1953,87.9623,27.3845	nuB, nuF, T
ahya.fold.het05.group4.major	bottle_neck	[3]	-43839.35	87686.7	76698.81	8820.55	6.0,6.0,6.0,6.0	199.4169,38.4048,14.7244,2.9748	nuB, nuF, TB, TF
ahya.fold.het05.Amil.major	size_change	[3]	-96673.71	193351.42	189842.67	10440.45	7.0,7.0	200.0,73.0324	nu, T
ahya.fold.het05.Amil.major	bottle	[3]	-68272.44	136550.88	128491.83	69597.86	7.0,7.0,7.0	199.9141,18.259,9.9624	nuB, nuF, T
ahya.fold.het05.Amil.major	bottle_neck	[3]	-722408.55	1444825.1	1111266.83	1008735.76	7.0,7.0,7.0,7.0	0.7526,0.9506,91.2439,83.371	nuB, nuF, TB, TF
ahya.fold.het05.group1.major	size_change	[3]	-37158.76	74321.52	62484.99	1881.14	7.0,7.0	200.0,52.267	nu, T
ahya.fold.het05.group1.major	bottle	[3]	-31996.92	63999.84	51627.76	5857.5	7.0,7.0,7.0	199.9944,46.7169,16.4013	nuB, nuF, T
ahya.fold.het05.group1.major	bottle_neck	[3]	-29962.91	59933.82	54516.91	3356.33	7.0,7.0,7.0,7.0	195.3467,5.6363,29.0869,0.1904	nuB, nuF, TB, TF
ahya.fold.het05.group2.major	size_change	[3]	-47260.37	94524.74	78638.47	2613.63	7.0,7.0	200.0,50.7842	nu, T
ahya.fold.het05.group2.major	bottle	[3]	-41316.17	82638.34	65826.37	7303.06	7.0,7.0,7.0	198.9262,53.3719,17.8761	nuB, nuF, T
ahya.fold.het05.group2.major	bottle_neck	[3]	-323759.93	647527.86	434926.07	200706.1	7.0,7.0,7.0,7.0	35.0709,1.1328,1.8731,36.1398	nuB, nuF, TB, TF
ahya.fold.het05.group3.major	size_change	[3]	-49991.03	99986.06	82876.04	2771.48	7.0,7.0	200.0,50.8172	nu, T
ahya.fold.het05.group3.major	bottle	[3]	-43599.5	87205.0	68619.93	10581.93	7.0,7.0,7.0	199.9962,36.1456,12.8671	nuB, nuF, T
ahya.fold.het05.group3.major	bottle_neck	[3]	-38270.77	76549.54	68418.25	6686.84	7.0,7.0,7.0,7.0	199.9382,29.715,18.9407,1.8096	nuB, nuF, TB, TF
ahya.fold.het05.group4.major	size_change	[3]	-55526.6	111057.2	92198.72	3173.07	7.0,7.0	200.0,50.4672	nu, T
ahya.fold.het05.group4.major	bottle	[3]	-122071.33	244148.66	171853.85	168915.67	7.0,7.0,7.0	0.0269,5.7596,2.2363	nuB, nuF, T
ahya.fold.het05.group4.major	bottle_neck	[3]	-54035.71	108079.42	91671.63	3185.77	7.0,7.0,7.0,7.0	0.2469,199.9894,184.4134,50.571	nuB, nuF, TB, TF
ahya.fold.het05.Amil.major	size_change	[3]	-96673.71	193351.42	189843.59	10440.49	8.0,8.0	200.0,73.0319	nu, T
