Directory	Run	LogLikelihood	ModelParameters	ModelValues
output_nomask_group4-Amil_process1_18-4-25	Run 2	-16437.41	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.159, 0.9, 2.591, 1.077, 11.741, 0.00e+00, 0.00e+00, 2.392, 21.784, 8.411, 0.034, 0.27, 11569.30)
output_nomask_group4-Amil_process1_18-4-25	Run 8	-16437.95	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(2.038, 1.959, 2.692, 1.126, 12.35, 0.00e+00, 0.00e+00, 2.453, 22.551, 8.69, 0.033, 0.258, 11213.75)
output_nomask_group4-Amil_process1_18-4-25	Run 1	-16440.00	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.217, 2.853, 3.253, 1.264, 13.342, 0.00e+00, 0.00e+00, 2.911, 25.703, 10.22, 0.029, 0.222, 9636.51)
output_nomask_group4-Amil_process1_18-4-25	Run 3	-16445.97	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.399, 8.506, 2.489, 1.001, 9.137, 0.00e+00, 0.00e+00, 2.365, 21.243, 8.227, 0.032, 0.286, 11906.82)
output_nomask_group3-Amil_process4_18-4-25	Run 7	-15128.45	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.063, 1.185, 2.817, 1.107, 13.794, 0.00e+00, 0.00e+00, 2.649, 20.619, 9.919, 0.03, 0.234, 9729.67)
output_nomask_group3-Amil_process4_18-4-25	Run 8	-15143.21	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(6.508, 3.436, 2.524, 1.001, 12.34, 0.00e+00, 0.00e+00, 2.501, 19.513, 9.512, 0.033, 0.246, 10338.10)
output_nomask_group3-Amil_process4_18-4-25	Run 3	-15144.74	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.577, 0.999, 2.639, 1.07, 12.906, 0.00e+00, 0.055, 2.333, 19.158, 9.272, 0.037, 0.237, 10621.12)
output_nomask_group3-Amil_process4_18-4-25	Run 5	-15144.97	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(8.982, 0.453, 2.23, 1.0, 11.329, 0.00e+00, 1.77e-05, 2.083, 17.349, 8.249, 0.038, 0.284, 11835.21)
output_nomask_group3-Amil_process4_18-4-25	Run 6	-15190.69	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.023, 0.083, 2.696, 1.082, 10.878, 0.00e+00, 0.067, 2.458, 19.415, 10.028, 0.037, 0.219, 10259.57)
output_nomask_group2-Amil_process3_18-4-25	Run 8	-15286.75	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.553, 2.802, 2.761, 1.187, 15.359, 0.00e+00, 0.00e+00, 2.396, 20.93, 9.791, 0.033, 0.234, 9455.60)
output_nomask_group2-Amil_process3_18-4-25	Run 3	-15289.95	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(45.585, 2.864, 3.006, 1.338, 15.989, 0.00e+00, 0.00e+00, 2.509, 22.733, 10.453, 0.032, 0.213, 8850.65)
output_nomask_group2-Amil_process3_18-4-25	Run 5	-15293.49	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.161, 1.725, 4.184, 1.688, 24.135, 0.00e+00, 0.015, 3.278, 28.463, 12.986, 0.026, 0.163, 6897.77)
output_nomask_group2-Amil_process3_18-4-25	Run 7	-15300.54	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.623, 13.767, 1.789, 0.879, 14.444, 0.00e+00, 2.41e-05, 1.835, 15.815, 7.745, 0.048, 0.275, 12326.25)
output_nomask_group2-Amil_process3_18-4-25	Run 6	-15304.06	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.079, 41.854, 4.124, 1.588, 16.074, 0.00e+00, 0.078, 3.023, 26.512, 13.36, 0.03, 0.152, 7329.47)
output_nomask_group3-Amil_process1_18-4-25	Run 8	-15114.23	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.202, 3.484, 2.816, 1.157, 14.046, 0.00e+00, 0.00e+00, 2.547, 21.023, 9.724, 0.031, 0.239, 9838.14)
output_nomask_group3-Amil_process1_18-4-25	Run 1	-15118.63	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.34, 0.021, 2.902, 1.19, 14.982, 0.00e+00, 0.00e+00, 2.668, 21.554, 10.209, 0.031, 0.223, 9461.47)
output_nomask_group3-Amil_process1_18-4-25	Run 6	-15122.46	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.378, 1.024, 2.408, 1.029, 12.713, 0.00e+00, 0.00e+00, 2.238, 18.6, 8.74, 0.035, 0.266, 11090.44)
output_nomask_group3-Amil_process1_18-4-25	Run 7	-15142.01	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.049, 1.06, 4.067, 1.502, 12.706, 0.00e+00, 0.02, 3.491, 27.34, 13.711, 0.023, 0.173, 7368.97)
output_nomask_group3-Amil_process1_18-4-25	Run 2	-15161.90	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.206, 0.974, 2.787, 1.151, 15.696, 0.00e+00, 0.00e+00, 2.671, 20.833, 10.1, 0.033, 0.218, 9584.12)
output_nomask_grp2-grp3-process2_17-4-25	Run 3	-5603.96	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.471, 1.061, 2.567, 16.682, 15.482, 0.00e+00, 0.00e+00, 0.526, 28.95, 28.526, 0.43, 0.522, 6135.41)
output_nomask_grp2-grp3-process2_17-4-25	Run 7	-5631.07	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.97, 0.614, 2.613, 16.336, 15.346, 0.00e+00, 0.00e+00, 0.607, 30.155, 29.173, 0.372, 0.477, 5952.38)
output_nomask_grp2-grp3-process2_17-4-25	Run 1	-5687.00	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(2.897, 0.382, 2.419, 15.66, 13.698, 0.00e+00, 0.00e+00, 0.558, 27.024, 28.112, 0.401, 0.518, 6402.03)
output_nomask_grp2-grp3-process2_17-4-25	Run 5	-5732.20	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.969, 0.785, 2.672, 13.009, 20.601, 0.00e+00, 0.00e+00, 0.734, 29.375, 29.613, 0.436, 0.306, 5646.07)
output_nomask_grp2-grp3-process2_17-4-25	Run 2	-5891.36	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(25.008, 1.782, 2.371, 18.99, 10.949, 0.00e+00, 0.00e+00, 0.668, 25.382, 27.507, 0.288, 0.546, 6279.52)
output_nomask_group4-Amil_process4_18-4-25	Run 1	-16437.11	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.057, 0.4, 2.574, 1.044, 11.152, 0.00e+00, 0.00e+00, 2.343, 21.474, 8.15, 0.033, 0.283, 11813.70)
output_nomask_group4-Amil_process4_18-4-25	Run 2	-16443.15	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(2.858, 0.079, 2.576, 1.03, 9.994, 0.00e+00, 0.00e+00, 2.35, 21.426, 8.155, 0.032, 0.29, 11853.73)
output_nomask_group4-Amil_process4_18-4-25	Run 3	-16456.27	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.818, 0.195, 2.372, 1.0, 11.983, 0.00e+00, 0.00e+00, 2.233, 20.326, 7.739, 0.037, 0.289, 12392.60)
output_nomask_group4-Amil_process4_18-4-25	Run 7	-16463.15	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.149, 8.698, 2.315, 1.0, 9.866, 0.00e+00, 0.00e+00, 2.196, 20.394, 7.756, 0.035, 0.299, 12560.65)
output_nomask_group4-Amil_process4_18-4-25	Run 5	-16468.17	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.708, 1.041, 2.161, 0.918, 9.335, 0.00e+00, 0.00e+00, 2.102, 19.21, 7.36, 0.037, 0.313, 13223.41)
output_nomask_group3-group4_process3_18-4-25	Run 1	-4621.07	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(7.419, 0.341, 2.033, 4.329, 32.303, 0.00e+00, 0.00e+00, 0.874, 15.75, 26.809, 0.92, 0.162, 7339.43)
output_nomask_group3-group4_process3_18-4-25	Run 2	-4730.87	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.983, 1.138, 1.967, 3.727, 31.143, 0.00e+00, 0.00e+00, 0.967, 15.743, 27.469, 0.893, 0.148, 7311.96)
output_nomask_group3-group4_process3_18-4-25	Run 3	-4822.88	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.679, 0.149, 2.123, 3.643, 40.838, 0.00e+00, 0.00e+00, 1.056, 17.0, 26.93, 0.814, 0.157, 6815.58)
output_nomask_group3-group4_process3_18-4-25	Run 6	-4914.68	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(5.059, 0.266, 1.787, 2.913, 35.713, 0.00e+00, 0.00e+00, 1.045, 14.968, 26.297, 0.911, 0.141, 7469.32)
output_nomask_group3-group4_process3_18-4-25	Run 5	-5051.17	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.137, 1.723, 1.791, 2.476, 44.984, 0.00e+00, 0.029, 0.992, 12.966, 24.861, 1.002, 0.122, 7625.33)
output_nomask_group1-Amil_process1_18-4-25	Run 5	-13672.68	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.343, 0.909, 5.0, 1.181, 16.185, 0.00e+00, 0.228, 1.718, 19.433, 11.19, 0.039, 0.156, 9246.08)
output_nomask_group1-Amil_process1_18-4-25	Run 8	-13677.41	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.019, 0.999, 3.72, 1.0, 13.171, 0.00e+00, 0.255, 1.373, 15.767, 8.738, 0.046, 0.218, 11510.47)
output_nomask_group1-Amil_process1_18-4-25	Run 1	-13728.68	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(2.622, 0.28, 4.043, 1.0, 21.247, 0.00e+00, 0.199, 1.619, 17.427, 8.885, 0.039, 0.214, 10309.25)
output_nomask_group1-Amil_process1_18-4-25	Run 6	-13737.46	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(5.758, 1.041, 5.0, 1.114, 11.16, 0.00e+00, 0.29, 1.565, 18.123, 11.391, 0.044, 0.145, 9991.63)
output_nomask_group1-Amil_process1_18-4-25	Run 7	-14129.04	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(10.411, 0.039, 2.923, 1.0, 24.734, 0.00e+00, 0.001, 1.491, 16.045, 7.59, 0.033, 0.349, 11373.35)
output_nomask_grp2-grp3-process3_17-4-25	Run 3	-5647.45	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.257, 6.987, 2.557, 14.63, 16.446, 0.00e+00, 0.00e+00, 0.65, 29.11, 29.151, 0.399, 0.411, 5975.35)
output_nomask_grp2-grp3-process3_17-4-25	Run 2	-5684.88	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.131, 4.511, 2.554, 15.383, 15.653, 0.00e+00, 0.00e+00, 0.691, 29.196, 27.547, 0.364, 0.412, 5933.32)
output_nomask_grp2-grp3-process3_17-4-25	Run 1	-5723.12	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.265, 0.891, 2.666, 13.573, 19.723, 0.00e+00, 0.00e+00, 0.751, 29.208, 29.005, 0.415, 0.313, 5646.05)
output_nomask_grp2-grp3-process3_17-4-25	Run 4	-5760.85	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.131, 0.334, 2.445, 11.288, 18.27, 0.00e+00, 0.00e+00, 0.682, 29.633, 27.12, 0.462, 0.333, 6138.56)
output_nomask_grp2-grp3-process3_17-4-25	Run 5	-5835.28	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.359, 0.998, 2.35, 10.395, 20.54, 0.00e+00, 0.00e+00, 0.668, 27.081, 24.685, 0.5, 0.332, 6305.33)
output_nomask_group3-group4_process2_18-4-25	Run 7	-4617.88	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.659, 0.715, 2.103, 4.512, 29.418, 0.00e+00, 0.00e+00, 0.882, 17.769, 28.133, 0.87, 0.181, 7196.49)
output_nomask_group3-group4_process2_18-4-25	Run 6	-4625.43	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(5.801, 89.948, 2.147, 4.21, 32.784, 0.098, 0.00e+00, 0.845, 16.805, 26.787, 0.882, 0.171, 7198.77)
output_nomask_group3-group4_process2_18-4-25	Run 2	-4639.50	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.82, 4.9, 2.083, 4.196, 35.025, 0.003, 1.19e-06, 0.914, 16.737, 27.067, 0.921, 0.153, 7106.92)
output_nomask_group3-group4_process2_18-4-25	Run 3	-4726.53	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.926, 0.516, 1.716, 3.601, 30.364, 0.00e+00, 0.00e+00, 0.689, 13.09, 22.157, 1.213, 0.188, 8619.24)
output_nomask_group3-group4_process2_18-4-25	Run 1	-4856.29	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.89, 0.322, 2.28, 3.869, 35.207, 0.00e+00, 0.00e+00, 1.189, 18.125, 31.633, 0.741, 0.136, 6344.66)
output_nomask_group2-group4_process4_18-4-25	Run 7	-7322.90	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.477, 13.141, 2.653, 5.73, 33.307, 0.00e+00, 0.00e+00, 1.308, 26.373, 37.557, 0.374, 0.081, 5433.34)
output_nomask_group2-group4_process4_18-4-25	Run 8	-7325.87	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.015, 2.446, 2.264, 4.877, 32.966, 0.00e+00, 0.00e+00, 1.115, 24.405, 31.451, 0.419, 0.096, 6208.86)
output_nomask_group2-group4_process4_18-4-25	Run 2	-7355.45	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(3.018, 0.236, 2.358, 5.934, 30.251, 0.00e+00, 0.00e+00, 1.087, 24.852, 32.325, 0.397, 0.108, 6125.53)
output_nomask_group2-group4_process4_18-4-25	Run 6	-7403.90	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(7.787, 2.183, 2.111, 4.179, 38.66, 0.00e+00, 0.00e+00, 1.222, 22.26, 29.3, 0.414, 0.091, 6282.78)
output_nomask_group2-group4_process4_18-4-25	Run 4	-7444.65	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.943, 2.611, 3.091, 7.017, 34.993, 0.001, 7.14e-04, 1.389, 34.25, 42.095, 0.313, 0.081, 4843.35)
output_nomask_group1-Amil_process3_18-4-25	Run 1	-13651.37	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.534, 0.828, 4.213, 1.0, 12.006, 0.00e+00, 0.272, 1.469, 16.5, 9.516, 0.043, 0.198, 10941.44)
output_nomask_group1-Amil_process3_18-4-25	Run 7	-13672.09	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(16.362, 1.084, 4.71, 1.149, 17.222, 0.00e+00, 0.179, 1.755, 19.312, 10.425, 0.034, 0.2, 9338.47)
output_nomask_group1-Amil_process3_18-4-25	Run 2	-13690.20	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.415, 6.298, 5.0, 1.202, 16.017, 0.00e+00, 0.23, 1.704, 19.821, 11.111, 0.04, 0.153, 9241.10)
output_nomask_group1-Amil_process3_18-4-25	Run 3	-13693.12	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.653, 2.889, 5.0, 1.26, 15.096, 0.00e+00, 0.167, 1.916, 21.001, 12.017, 0.031, 0.177, 8630.23)
output_nomask_group1-Amil_process3_18-4-25	Run 6	-13705.45	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.822, 0.12, 4.169, 1.0, 11.106, 0.00e+00, 0.322, 1.344, 15.616, 9.31, 0.05, 0.183, 11536.71)
output_nomask_grp2-grp3-process1_17-4-25	Run 7	-5710.27	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.273, 0.229, 2.358, 15.181, 14.675, 0.00e+00, 0.00e+00, 0.572, 24.625, 28.028, 0.444, 0.459, 6454.25)
output_nomask_grp2-grp3-process1_17-4-25	Run 5	-5742.70	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.964, 18.679, 2.571, 11.97, 20.14, 0.00e+00, 0.00e+00, 0.692, 29.823, 27.838, 0.481, 0.306, 5880.56)
output_nomask_grp2-grp3-process1_17-4-25	Run 6	-5743.20	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.504, 0.778, 2.521, 11.761, 20.008, 0.00e+00, 0.00e+00, 0.632, 29.257, 26.517, 0.522, 0.326, 6068.47)
output_nomask_grp2-grp3-process1_17-4-25	Run 3	-6184.59	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.523, 0.055, 2.038, 17.977, 8.644, 0.00e+00, 0.00e+00, 0.737, 22.82, 23.979, 0.274, 0.53, 6821.34)
output_nomask_grp2-grp3-process1_17-4-25	Run 8	-6219.52	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.044, 4.256, 2.242, 7.045, 25.544, 0.00e+00, 0.00e+00, 1.127, 26.519, 25.109, 0.413, 0.204, 5770.90)
output_nomask_grp1-grp2-process4_17-4-25	Run 3	-7038.57	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.73, 18.773, 2.22, 1.0, 11.44, 0.00e+00, 0.129, 2.099, 24.687, 22.491, 0.069, 0.44, 5316.42)
output_nomask_grp1-grp2-process4_17-4-25	Run 2	-7060.70	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(3.47, 0.291, 1.648, 0.739, 15.669, 0.00e+00, 0.00e+00, 2.103, 22.158, 20.765, 0.073, 0.477, 5646.94)
output_nomask_grp1-grp2-process4_17-4-25	Run 1	-7310.34	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.012, 1.032, 1.711, 1.0, 10.401, 0.00e+00, 0.00e+00, 2.032, 22.132, 22.409, 0.081, 0.428, 5583.01)
output_nomask_grp1-grp2-process4_17-4-25	Run 4	-7376.83	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.046, 0.163, 2.738, 0.811, 14.624, 0.00e+00, 0.493, 1.856, 21.535, 23.7, 0.127, 0.321, 5591.62)
output_nomask_grp1-grp2-process4_17-4-25	Run 5	-7376.89	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.727, 1.331, 2.34, 0.744, 12.987, 0.00e+00, 0.496, 1.746, 20.197, 21.377, 0.127, 0.369, 6053.90)
output_nomask_group1-group4_process4_18-4-25	Run 5	-7074.87	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.169, 1.368, 5.0, 0.836, 43.932, 0.00e+00, 0.716, 1.143, 15.007, 24.715, 0.392, 0.138, 7230.96)
output_nomask_group1-group4_process4_18-4-25	Run 2	-7096.75	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.492, 0.992, 5.0, 0.938, 46.111, 0.00e+00, 0.637, 1.258, 16.669, 27.746, 0.35, 0.126, 6557.59)
output_nomask_group1-group4_process4_18-4-25	Run 3	-7137.99	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.071, 0.965, 5.0, 1.0, 67.746, 0.00e+00, 0.686, 1.037, 15.435, 23.763, 0.431, 0.099, 7047.36)
output_nomask_group1-group4_process4_18-4-25	Run 7	-7188.32	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.479, 9.563, 5.0, 0.797, 40.517, 0.00e+00, 0.742, 1.194, 15.083, 23.261, 0.345, 0.194, 7455.93)
output_nomask_group1-group4_process4_18-4-25	Run 6	-7903.00	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(6.759, 0.108, 1.922, 2.082, 34.717, 0.00e+00, 0.12, 0.986, 18.038, 26.498, 0.41, 0.133, 6949.63)
output_nomask_group3-Amil_process2_18-4-25	Run 4	-15128.81	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.61, 0.989, 3.358, 1.292, 13.807, 0.00e+00, 0.041, 2.844, 22.971, 11.203, 0.03, 0.2, 8812.61)
output_nomask_group3-Amil_process2_18-4-25	Run 5	-15137.71	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.822, 3.324, 2.008, 0.894, 13.815, 0.00e+00, 0.00e+00, 2.006, 16.417, 7.811, 0.042, 0.288, 12412.94)
output_nomask_group3-Amil_process2_18-4-25	Run 1	-15140.59	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.51, 7.306, 2.346, 1.0, 13.911, 0.00e+00, 0.026, 2.147, 17.713, 8.369, 0.039, 0.268, 11507.19)
output_nomask_group3-Amil_process2_18-4-25	Run 6	-15147.76	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.121, 0.041, 2.743, 1.095, 10.805, 0.00e+00, 0.062, 2.374, 19.526, 9.656, 0.035, 0.234, 10435.82)
output_nomask_group3-Amil_process2_18-4-25	Run 2	-15149.09	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.432, 0.549, 2.43, 1.0, 10.978, 0.00e+00, 0.051, 2.26, 18.105, 8.994, 0.038, 0.248, 11124.67)
output_nomask_group1-group3_process1_18-4-25	Run 5	-7214.59	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.653, 0.936, 5.0, 0.705, 17.225, 0.00e+00, 0.766, 1.436, 17.186, 19.644, 0.213, 0.347, 7006.30)
output_nomask_group1-group3_process1_18-4-25	Run 1	-7228.80	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.986, 3.114, 4.393, 0.859, 26.824, 0.00e+00, 0.584, 1.774, 21.141, 22.914, 0.171, 0.293, 5730.78)
output_nomask_group1-group3_process1_18-4-25	Run 2	-7315.28	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(5.507, 33.588, 5.0, 1.0, 41.282, 0.00e+00, 0.614, 1.645, 20.872, 24.446, 0.223, 0.206, 5540.10)
output_nomask_group1-group3_process1_18-4-25	Run 4	-7385.50	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.683, 0.429, 1.727, 0.739, 14.242, 0.00e+00, 0.001, 2.067, 21.949, 22.025, 0.095, 0.466, 5879.17)
output_nomask_group1-group3_process1_18-4-25	Run 6	-7850.05	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.997, 1.367, 1.93, 2.393, 28.448, 0.00e+00, 0.00e+00, 1.449, 24.153, 26.431, 0.241, 0.19, 5468.19)
output_nomask_group2-Amil_process4_18-4-25	Run 3	-15280.80	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.996, 0.968, 3.109, 1.298, 16.353, 0.00e+00, 0.004, 2.715, 22.927, 10.901, 0.03, 0.203, 8500.04)
output_nomask_group2-Amil_process4_18-4-25	Run 1	-15282.77	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.172, 0.205, 2.505, 1.158, 16.733, 0.00e+00, 0.001, 2.25, 19.847, 9.457, 0.039, 0.227, 9925.81)
